,mfcc_1,mfcc_1,mfcc_1,mfcc_1,mfcc_1,mfcc_1,mfcc_1,mfcc_1,mfcc_2,mfcc_2,mfcc_2,mfcc_2,mfcc_2,mfcc_2,mfcc_2,mfcc_2,mfcc_3,mfcc_3,mfcc_3,mfcc_3,mfcc_3,mfcc_3,mfcc_3,mfcc_3,mfcc_4,mfcc_4,mfcc_4,mfcc_4,mfcc_4,mfcc_4,mfcc_4,mfcc_4,mfcc_5,mfcc_5,mfcc_5,mfcc_5,mfcc_5,mfcc_5,mfcc_5,mfcc_5,mfcc_6,mfcc_6,mfcc_6,mfcc_6,mfcc_6,mfcc_6,mfcc_6,mfcc_6,mfcc_7,mfcc_7,mfcc_7,mfcc_7,mfcc_7,mfcc_7,mfcc_7,mfcc_7,mfcc_8,mfcc_8,mfcc_8,mfcc_8,mfcc_8,mfcc_8,mfcc_8,mfcc_8,mfcc_9,mfcc_9,mfcc_9,mfcc_9,mfcc_9,mfcc_9,mfcc_9,mfcc_9,mfcc_10,mfcc_10,mfcc_10,mfcc_10,mfcc_10,mfcc_10,mfcc_10,mfcc_10,mfcc_11,mfcc_11,mfcc_11,mfcc_11,mfcc_11,mfcc_11,mfcc_11,mfcc_11,mfcc_12,mfcc_12,mfcc_12,mfcc_12,mfcc_12,mfcc_12,mfcc_12,mfcc_12,mfcc_13,mfcc_13,mfcc_13,mfcc_13,mfcc_13,mfcc_13,mfcc_13,mfcc_13,spectral_rolloff,spectral_rolloff,spectral_rolloff,spectral_rolloff,spectral_rolloff,spectral_rolloff,spectral_rolloff,spectral_rolloff,zero_crossing_rate,zero_crossing_rate,zero_crossing_rate,zero_crossing_rate,zero_crossing_rate,zero_crossing_rate,zero_crossing_rate,zero_crossing_rate,spectral_centroid,spectral_centroid,spectral_centroid,spectral_centroid,spectral_centroid,spectral_centroid,spectral_centroid,spectral_centroid,rms_energy,rms_energy,rms_energy,rms_energy,rms_energy,rms_energy,rms_energy,rms_energy
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
speaker_label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
member 1,12.0,-533.5639256492626,116.13662450656301,-613.2666015625,-605.2889099121094,-571.4605407714844,-558.1367340087891,-286.45231835904406,12.0,79.64037676199696,34.08545393048698,4.481482151349531,87.59196090698242,91.4073486328125,96.90367126464844,103.07815551757812,12.0,16.356720118486297,6.240996427512761,5.5196420066994305,12.353100776672363,17.367284774780273,20.695496559143066,24.287763595581055,12.0,10.988469569520875,5.7961653216078215,1.8522236009782498,8.58722734451294,10.468141078948975,13.219074249267578,22.700950622558594,12.0,1.448147166638049,2.8678770820814106,-4.749709606170654,0.3286652951995788,1.224932985743039,3.318743050098419,5.64111328125,12.0,-5.558179487768729,6.255730237254652,-13.196925163269043,-8.649412870407104,-7.405287504196167,-2.635454717289653,6.777817726135254,12.0,-13.638274752140989,5.592146717144385,-22.154373168945312,-15.647896766662598,-14.45353078842163,-12.904617071151733,-3.2014642481815163,12.0,-3.6867205058030756,1.836887422677048,-6.440948963165283,-5.206903696060181,-3.9324883222579956,-2.480126627284314,-0.8829667568206787,12.0,-8.795045721976292,3.9580654992408584,-13.777307510375977,-12.050572395324707,-9.795227527618408,-7.043688535690308,-1.553662149654249,12.0,-4.808171545171553,2.8916681576932626,-8.6346435546875,-7.525757431983948,-5.085073471069336,-2.432217374527182,-0.5759217739105225,12.0,-5.695949393112507,4.02471660715145,-12.981242179870605,-8.195376634597778,-6.160918474197388,-1.5452329218387604,-0.7336170450332996,12.0,-4.688741062653858,3.588020524681938,-8.246756553649902,-7.386668920516968,-5.824055433273315,-2.362991568952151,2.5457370281219482,12.0,-6.8328334701487465,3.3516898171081086,-12.757880210876465,-8.926214218139648,-7.2693188190460205,-4.879507839679718,-1.0072613354870736,12.0,4181.605720463332,1178.299601563442,3214.426577669903,3570.9761832524273,3782.13134539778,3957.834298270089,6694.089673913043,12.0,0.17418538200766828,0.11792240682570468,0.09161673240291263,0.10381651407331259,0.13515624999999998,0.15864017320715862,0.4426333220108696,12.0,2118.1124019518134,779.3491084774294,1474.981943521509,1697.6333622296042,1850.2345817081705,1999.8213791248882,3825.686439930672,12.0,0.004056395070316891,0.0018999527071639603,0.00233649043366313,0.0026654195389710367,0.0035379474284127355,0.004099184472579509,0.008233724161982536
member 2,12.0,-396.7612979016478,69.74892671763106,-447.4762268066406,-439.1241760253906,-420.06837463378906,-407.725830078125,-242.2121479160682,12.0,51.10257363363902,13.10034279179425,26.46800171155489,47.868144035339355,52.59751319885254,61.95553398132324,63.5300407409668,12.0,20.902545399286883,3.580456744721255,13.18144504642247,19.689871311187744,22.33609104156494,23.12376356124878,24.675596237182617,12.0,1.3774452238868722,4.771510629817528,-4.96810245513916,-1.198039174079895,0.6799233629641459,2.0132685205940777,11.735306739807129,12.0,-2.4998725904932813,3.3839341370181906,-10.818281173706055,-4.032671809196472,-2.5827311764474334,0.45289622992277145,1.2270331382751465,12.0,-2.4748524593090497,5.007378619512906,-11.078107833862305,-4.021341562271118,-2.9922881046449765,-2.6515664995281525,7.820831775665283,12.0,-13.565946725802341,3.9738594619861787,-18.290510177612305,-17.184120178222656,-13.70304536819458,-11.5028395652771,-6.356653250287472,12.0,-1.991176708901053,2.7199405543997544,-5.510674476623535,-4.309381484985352,-2.0016449182409612,0.06734308321028948,2.7473270893096924,12.0,-7.316989834771533,1.6748450863786746,-11.268407821655273,-7.528996467590332,-7.154904842376709,-6.904605388641357,-4.642352034101266,12.0,-5.767150341296172,1.8835183645852698,-8.421749114990234,-7.308907389640808,-5.811933517456055,-4.350534850780196,-3.1766726970672607,12.0,-3.4067082599500096,2.6958418793431203,-9.203840255737305,-3.1797325015068054,-2.673333168029785,-2.0005992966692663,-0.24059900641441345,12.0,-2.0641617239651304,2.726935151919516,-6.160191535949707,-4.012814700603485,-2.174403251459514,-0.8907884237329249,2.527526617050171,12.0,-5.352321199095184,2.7800654890015584,-9.90085506439209,-7.993943572044373,-4.256727169795081,-3.543603479862213,-1.3067411184310913,12.0,4833.45307519033,643.8921955287648,3788.716814159292,4404.885922330097,4737.277754209984,5147.7988521836505,5905.4894911504425,12.0,0.20330688604271271,0.0756316244316442,0.13797186117256638,0.159637458282767,0.17690714123179613,0.1974894309689576,0.3643478837985437,12.0,2351.0057906682136,469.15735117425936,1772.396334834514,2058.16664552513,2237.133657150611,2402.5253433681896,3290.189784890576,12.0,0.036746123960862555,0.012204092024193359,0.023562686517834663,0.02542705088853836,0.03692102991044521,0.039109282195568085,0.060732100158929825
member 3,12.0,-391.11506922261066,64.69565016129823,-440.324951171875,-428.83313751220703,-411.30702209472656,-398.3421630859375,-251.45399404746914,12.0,63.3009561772437,19.223235268026325,21.495479970113095,65.97751045227051,69.30484771728516,72.10283470153809,83.7045669555664,12.0,13.14239284573955,6.391448983332828,2.081777334213257,9.7681373422255,10.948859868204387,19.2979793548584,21.854631423950195,12.0,8.898284117165186,6.4328563340487985,1.0756155977205426,4.76282639415069,7.973196983337402,10.523349046707153,21.860374450683594,12.0,-1.1870311630956745,5.2673476931461005,-12.805246353149414,-2.3675083922652727,-1.1478711068630219,3.090433120727539,5.277076721191406,12.0,7.905780993927877,6.1248428602242395,-0.33769746555446634,5.4783496260643005,7.74713134765625,8.769080877304077,21.80299186706543,12.0,-6.490770692110619,5.447616797379759,-18.84808921813965,-9.648401498794556,-5.883126088264925,-1.8798179924488068,-0.43754998564724645,12.0,8.584352945276853,4.494634931159275,-1.3007138098763993,7.9321510791778564,9.670200824737549,10.313008546829224,14.490904808044434,12.0,-7.53931866706511,6.472854304749163,-21.50632667541504,-11.57581615447998,-5.916608520937082,-2.574788435634928,0.6659500598907471,12.0,-6.532925815575349,3.4387086711245445,-10.244109153747559,-9.485401630401611,-7.213242769241333,-4.4254610837958825,-0.42669999599456787,12.0,-4.606081172873262,2.86031453871209,-9.049652099609375,-7.631329774856567,-3.265265827993537,-2.441935360431671,-1.1050868034362793,12.0,-6.469729386597997,3.7814800500863197,-11.267333984375,-9.214950561523438,-6.909098367642276,-4.596999900385509,0.3017086088657379,12.0,-5.461451608163227,3.243593136730718,-12.408355712890625,-6.422963619232178,-5.166733741760254,-3.40443147285292,-1.216380000114441,12.0,4355.8899084064005,801.7258744900373,3384.21875,3896.484375,4172.283909248923,4419.2921686746995,6025.790662650603,12.0,0.20958246301067315,0.07544519712222297,0.1265673828125,0.1516758934227196,0.20354268637048192,0.228473085830073,0.379894578313253,12.0,2332.9881823895153,499.26063873666254,1697.476104741897,1983.3325949815194,2253.30188099106,2451.6124987038456,3374.741037701647,12.0,0.021263807235906523,0.0050134616293938715,0.015716204419732094,0.016775517258793116,0.0204239496961236,0.023305420763790607,0.03108823299407959
member 4,12.0,-529.4405717356445,114.7252303052625,-594.0599975585938,-585.2233276367188,-580.4345703125,-555.4255981445312,-285.24332181958033,12.0,51.682146240711894,21.26598824747527,5.897379951389455,57.41948890686035,59.18332481384277,61.442267417907715,67.08944702148438,12.0,9.46274421872206,2.5233385980724017,4.47357177734375,7.836850783157011,9.8207688331604,11.425606727600098,12.613527297973633,12.0,9.860665481666059,5.01535162287853,1.3756020103817357,5.635205388069153,10.749548435211182,13.568521738052368,16.809276580810547,12.0,11.564672712459126,4.90686155522038,3.2805983938355556,8.394385814666748,12.8381986618042,14.308605670928955,18.076173782348633,12.0,-3.711500302334129,6.4008488216503325,-12.737902641296387,-6.551125764846802,-5.277981758117676,-2.086877327822531,9.575551986694336,12.0,-7.496942915902274,4.8042162539765645,-17.678049087524414,-9.28684663772583,-6.419630527496338,-4.840122103691101,-1.4059434728154103,12.0,0.57356746057187,2.595914412943764,-1.7655786558699436,-0.9222710430622101,-0.03222728986893045,0.9982740432024002,8.062113761901855,12.0,-4.247462294180661,2.6147708592279955,-10.49891471862793,-5.262390732765198,-4.218493103981018,-2.5071604251861572,-1.0605038039841423,12.0,-2.1118666736309084,2.1570757517573846,-4.849398612976074,-3.6501845121383667,-2.2942373752593994,-0.8283259769468796,1.6823756694793701,12.0,-0.780616902769394,3.886540168691911,-10.640918731689453,-0.08134099186033955,0.602447584271431,1.0362337231636047,2.2329492568969727,12.0,1.1375028990147769,3.2222110308667666,-3.276010513305664,-0.29318736866116524,0.47619733336511566,1.3173779249191284,8.635343551635742,12.0,-2.5530111925786527,1.9735180842520974,-8.041394233703613,-2.603665351867676,-2.1460022926330566,-1.718930721282959,-0.5464191639408978,12.0,4831.742981220114,882.5473001920672,3899.7864208633096,4397.921253094926,4583.049049890522,4766.054444875776,6655.366847826087,12.0,0.2492161930355579,0.09356064455409413,0.15908835431654678,0.19830883403565297,0.21766311984379888,0.244434200310559,0.44679857336956524,12.0,2576.7800229787144,592.811926571715,1966.602393603148,2244.7438409221086,2386.0896812801175,2545.649293742927,3816.3572795266214,12.0,0.005369406232299904,0.002092681388656836,0.003597953822463751,0.004090727074071765,0.004375432152301073,0.005930520943365991,0.009878328070044518
