mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,rolloff,energy,label
-540.24097,100.01188,14.878708,12.524996,5.641113,-7.00423,-13.305945,-6.440949,-7.294043,-8.634644,-8.038005,-7.8927317,-8.385885,3538.3798543689322,6.588901e-05,member 1_original
-578.868,90.46632,23.058048,13.115257,1.8174529,-7.1399474,-14.566556,-5.206784,-9.77648,-5.123213,-1.4303027,-5.3737755,-5.492309,3910.733695652174,4.8053396e-05,member 1_original
-416.64365,61.744576,23.107286,1.5146034,0.410255,-4.0046477,-16.166838,-4.1803107,-7.283148,-7.262041,-2.6164186,-1.130092,-7.9625115,4497.234513274337,0.004368261,member 2_original
-393.45825,50.21545,24.601786,-2.0189078,-4.410986,-2.8289714,-12.135837,-0.012854643,-6.9089427,-7.2065134,-1.9461602,-3.8856397,-3.548252,5034.283980582524,0.012654439,member 2_original
-386.7025,72.21466,10.30715,12.654577,-1.3736548,8.700494,-1.585858,10.503376,-1.7995785,-9.9498005,-1.1050869,-10.044647,-1.2163804,3900.078125,0.0020698898,member 3_original
-417.73904,66.1442,21.696037,9.81294,3.4707594,6.550951,-8.368878,8.582371,-10.073552,-8.877654,-2.465423,-7.586028,-4.9578657,4432.793674698795,0.0013572341,member 3_original
-548.576,59.163235,10.063268,12.802551,13.697449,-4.3997827,-8.277389,0.90358955,-2.8320065,-3.5052783,0.72562873,1.0923102,-2.5895135,4352.236960431655,0.00019152592,member 4_original
-557.7088,59.203415,10.68401,7.2649074,15.599152,-5.7732244,-5.4951167,0.06720865,-4.453947,-4.8493986,0.9585786,-0.8616345,-1.9417865,4673.573369565217,0.000109556255,member 4_original
